"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"REF**,REF**,REF**,REF**";"MountingHole_2.5mm";4;"MountingHole_2.5mm";;;
2;"JSPI";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
3;"JAUX,JSM2,JSM6,JSM5,JSM4,JSM3,JSM1";"PinHeader_1x04_P2.54mm_Vertical";7;"Conn_01x04_Male";;;
4;"B0";"ESP32_THING";1;"ESP32_THING_W_ANT_KEEPOUT";;;
5;"U1";"DIP-16_W7.62mm";1;"74LS138";;;
6;"B6,B5,B4,B3,B2,B1";"StepStick";6;"SilentStepStick";;;
7;"JP6,JP5,JP16,JP15,JP14,JP13,JP12,JP11,JP10,JP7,JP9,JP8,JP1";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";13;"SolderJumper_3_Bridged12";;;
8;"JES2,JES6,JES5,JES4,JES3,JES1";"PinHeader_1x03_P2.54mm_Vertical";6;"Conn_01x03_Male";;;
9;"C5,C9,C8,C7,C6,C3,C4,C1";"CP_Radial_D8.0mm_P3.50mm";8;"100u";;;
10;"JRST1";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Male";;;
11;"_C1";"C_Radial_D6.3mm_H5.0mm_P2.50mm";1;"1n";;;
12;"U2";"Converter_DCDC_TRACO_TSR-1_THT";1;"TSR_1-2450";;;
13;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
14;"R4,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"4k7";;;
15;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
16;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100kOhm";;;
17;"Q2,Q1";"TO-92_Inline";2;"BC547";;;
18;"JP4,JP3,JP2";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";3;"SolderJumper_3_Open";;;
19;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
20;"JI2C1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
21;"J1";"TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
22;"F1";"Fuse_Bourns_MF-RHT1000";1;"Polyfuse";;;
23;"C2";"C_Radial_D6.3mm_H5.0mm_P2.50mm";1;"100n";;;
